Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
0,18578.219999999998,222938.64,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Status,Configuration summary
My Estimate,US East (N. Virginia),,VPN Connection,0,73,876.00,USD,,"Working days per month (22), Number of Site-to-Site VPN Connections (2)"
My Estimate,US East (N. Virginia),,Amazon Route 53,0,183,2196.00,USD,,"Hosted Zones (1), Number of Elastic Network Interfaces (2)"
My Estimate,US East (N. Virginia),,Amazon EC2 ,0,6378.5599999999995,76542.72,USD,,"Tenancy (Dedicated Instances), Operating system (Linux), Workload (Consistent, Number of instances: 8), Advance EC2 instance (m5a.4xlarge), Pricing strategy (On-Demand Utilization: 100 %Utilized/Month), Enable monitoring (disabled), EBS Storage amount (1 TB), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
My Estimate,US East (N. Virginia),,Amazon RDS for MySQL,0,9823.64,117883.68,USD,,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (2 TB), Quantity (2), Instance type (db.m5.8xlarge), Utilization (On-Demand only) (730 Hours/Month), Deployment option (Multi-AZ), Pricing strategy (OnDemand), Additional backup storage (2 TB)"
My Estimate,US East (N. Virginia),,S3 Standard,0,235.52,2826.24,USD,,S3 Standard storage (10 TB per month)
My Estimate,US East (N. Virginia),,AWS Data Transfer,0,0,0.00,USD,,"DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
My Estimate,US East (N. Virginia),,Amazon Elastic IP,0,0,0.00,USD,,"Number of EC2 instances (6), Number of EIPs per instance (1)"
My Estimate,US East (N. Virginia),,Application Load Balancer,0,383.25,4599.00,USD,,Number of Application Load Balancers (2)
My Estimate,US East (N. Virginia),,Amazon CloudWatch,0,1501.25,18015.00,USD,,"Number of Metrics (includes detailed and custom metrics) (5000), Standard Logs: Data Ingested (1 GB), Logs Delivered to CloudWatch Logs: Data Ingested (1 GB), Logs Delivered to S3: Data Ingested (1 GB)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
